RPM,Vibration,Pressure,Humidity,Voltage,Current,Load,Operating_Hours,Machine_Mode,Maintenance_Level,Shift_Type,Temperature,Defective
1374,5.66,50.78,77.91,244.85,35.55,16.77,714,Standard,Average,Morning,52.19,1
4061,4.37,81.36,72.43,217.7,37.63,16.6,3178,Standard,Poor,Morning,67.99,1
1948,0.86,109.79,41.42,213.9,48.43,27.63,3590,Standard,Average,Evening,55.51,1
2515,2.01,100.99,52.0,245.91,16.72,53.67,3643,Standard,Poor,Morning,63.35,1
4654,0.2,78.31,36.35,224.0,5.83,80.63,8202,High-Speed,Good,Evening,73.55,1
3291,3.8,93.02,67.69,232.05,29.55,53.69,2000,Eco,Average,Night,64.01,1
3460,2.48,56.48,37.28,224.38,36.81,40.19,5780,Eco,Average,Morning,57.02,1
3924,4.83,84.1,89.16,215.03,40.57,17.41,6851,Standard,Poor,Morning,75.48,1
3851,2.45,66.62,76.84,233.57,13.72,59.53,5962,Eco,Average,Morning,62.13,1
804,2.47,38.99,53.41,231.01,16.78,34.41,1812,Standard,Good,Morning,38.99,0
1676,5.97,90.17,64.71,218.12,28.07,65.34,2429,Eco,Poor,Morning,63.83,1
1791,0.48,75.65,84.68,228.07,19.88,97.95,1294,Eco,Average,Morning,50.63,0
4942,7.23,55.86,63.25,241.88,43.72,20.02,6881,Eco,Good,Evening,66.75,1
1435,6.83,111.13,40.47,233.62,26.32,29.09,8262,High-Speed,Average,Morning,76.4,1
2493,5.38,22.09,52.72,213.88,40.98,52.58,5006,Eco,Average,Evening,59.41,1
2482,4.79,51.58,80.59,231.92,31.13,97.18,1478,Eco,Average,Night,61.46,1
919,7.15,25.69,68.65,238.11,39.79,79.46,9604,Eco,Average,Night,58.6,0
1630,1.56,96.65,69.04,241.71,19.97,90.84,849,High-Speed,Poor,Evening,73.45,1
4475,0.72,90.21,82.01,235.16,42.41,40.03,5392,High-Speed,Poor,Morning,80.07,1
2169,1.99,53.14,83.64,216.11,17.36,99.28,400,High-Speed,Average,Evening,69.68,1
1540,6.38,87.57,85.19,238.41,29.57,19.25,4795,Eco,Good,Morning,52.25,0
916,0.37,59.59,35.69,237.09,14.63,14.77,4724,High-Speed,Poor,Morning,54.23,0
3638,4.7,95.63,62.65,210.98,26.4,87.0,3937,Standard,Average,Night,78.84,1
1950,7.96,65.42,74.43,226.47,19.32,93.45,377,Standard,Average,Morning,68.57,1
2731,6.86,61.23,75.42,223.32,17.0,18.15,4017,Standard,Good,Morning,59.64,0
1812,4.22,113.47,66.4,236.78,48.51,20.21,7407,High-Speed,Average,Night,75.06,1
2464,0.6,45.09,40.01,218.65,12.2,12.99,2261,High-Speed,Good,Night,54.85,0
1881,6.67,32.04,77.85,233.63,40.43,19.41,1489,High-Speed,Poor,Morning,67.41,1
1312,4.83,78.45,73.21,246.53,49.29,28.85,8982,High-Speed,Good,Morning,62.6,0
3649,1.01,116.93,35.17,241.91,5.9,97.31,4832,Eco,Average,Evening,58.79,1
1359,0.84,57.78,57.83,246.86,36.46,70.11,3568,Standard,Average,Evening,51.23,0
4472,7.29,26.2,40.44,249.14,16.38,80.07,6241,Eco,Average,Morning,68.49,1
4143,5.39,53.93,50.25,210.43,6.82,79.85,6069,High-Speed,Good,Evening,73.96,1
4870,6.65,70.59,31.08,234.91,23.13,58.16,3916,Eco,Poor,Night,75.22,1
2270,7.04,36.19,54.02,226.51,47.08,81.77,9231,High-Speed,Poor,Morning,81.71,1
1380,4.62,85.81,62.99,244.39,5.53,63.62,5137,Standard,Average,Night,63.26,1
3094,4.19,119.77,67.17,220.07,31.45,38.31,6094,Standard,Good,Night,71.47,1
3947,3.5,65.17,69.81,249.24,27.56,60.5,2551,Eco,Good,Morning,57.97,1
2479,2.6,55.47,80.18,234.55,44.3,58.02,124,Standard,Average,Night,61.37,1
4306,3.53,60.07,42.93,241.74,8.78,84.11,6062,High-Speed,Average,Morning,79.82,1
3544,6.21,31.51,37.23,213.42,35.67,98.36,2656,Eco,Poor,Evening,67.31,1
4156,4.86,108.33,81.09,217.34,35.6,46.99,7732,Standard,Good,Night,71.83,1
4845,7.15,61.48,39.4,240.34,35.11,78.71,160,Eco,Good,Morning,69.46,1
2043,3.6,58.73,88.49,210.88,47.41,18.98,7775,Standard,Average,Evening,60.26,1
3918,4.9,85.97,80.55,242.68,42.04,79.91,222,Eco,Average,Night,73.99,1
2941,5.09,64.2,60.05,210.56,6.89,43.43,5716,Standard,Good,Morning,59.8,1
3859,4.77,84.82,88.89,236.28,26.2,13.55,1286,High-Speed,Good,Morning,73.2,1
3759,5.65,26.14,35.84,224.6,22.91,42.69,5258,Standard,Average,Morning,61.76,1
3065,1.98,101.37,48.18,234.46,18.96,64.96,7964,Standard,Average,Evening,65.78,1
3279,4.15,114.05,68.29,237.84,25.31,20.73,4189,Standard,Average,Night,70.36,1
2435,0.92,84.88,51.0,223.7,22.29,93.16,2572,Eco,Average,Night,57.3,1
2557,3.14,115.46,85.7,214.32,24.46,16.99,7550,Standard,Average,Evening,62.26,1
2870,3.95,35.14,33.94,212.79,49.07,93.7,3064,Standard,Average,Evening,63.51,1
3649,5.25,67.74,62.96,233.56,8.99,73.64,8204,Eco,Average,Morning,66.54,1
4051,7.61,80.18,65.45,230.83,46.5,39.67,1410,Standard,Average,Morning,73.51,1
4530,4.85,78.17,69.16,239.69,26.61,45.17,8446,Standard,Average,Evening,72.22,1
3289,5.97,60.15,45.34,230.39,33.07,76.67,2312,High-Speed,Average,Evening,77.02,1
2431,4.1,53.81,51.87,226.9,42.36,64.13,9554,High-Speed,Good,Evening,68.22,1
3616,5.11,32.68,80.62,225.92,21.22,70.45,6892,Eco,Average,Night,61.83,1
1815,0.66,59.17,41.7,211.06,24.37,45.02,9654,Standard,Poor,Evening,61.43,1
2148,2.11,36.27,79.61,223.42,23.43,53.9,9229,Standard,Average,Evening,53.02,1
3887,2.96,93.44,63.76,249.04,21.86,99.09,8803,Eco,Good,Morning,61.74,1
3639,3.83,40.88,75.73,244.94,46.65,29.25,8478,High-Speed,Good,Night,71.58,1
1135,0.46,25.86,72.82,223.18,42.3,47.61,1945,High-Speed,Average,Night,57.52,0
1695,1.21,75.24,42.45,233.51,9.9,36.26,7760,Standard,Good,Night,51.84,0
4346,2.29,79.52,64.13,243.89,9.87,78.86,1802,Standard,Poor,Evening,71.04,1
1651,7.78,107.19,82.06,227.65,24.25,78.76,490,Eco,Good,Evening,60.84,1
2487,2.72,77.7,55.93,210.72,9.44,36.32,754,Standard,Average,Evening,55.83,0
2731,3.91,54.55,88.0,212.98,32.86,17.33,5935,High-Speed,Poor,Morning,70.65,1
4546,1.65,100.3,57.13,230.42,11.47,11.03,4371,Standard,Average,Evening,66.55,1
3227,4.93,74.03,38.57,248.78,28.51,48.47,9055,Standard,Average,Night,68.4,1
2368,2.32,27.93,53.37,237.73,5.32,46.93,3500,Standard,Average,Morning,47.23,0
4800,1.74,76.59,87.1,212.84,19.25,98.96,5419,Standard,Good,Morning,69.17,1
3538,4.18,110.8,49.18,217.57,35.47,52.28,6832,Standard,Good,Evening,67.45,1
4298,0.14,59.63,82.09,240.85,26.78,33.08,6774,Standard,Average,Morning,61.84,1
4713,0.16,49.63,82.88,243.66,49.02,90.21,1185,Standard,Average,Evening,65.48,1
1866,1.83,34.35,51.01,234.71,44.33,54.2,5546,Standard,Poor,Evening,58.16,0
3244,0.39,35.14,35.0,235.78,21.16,63.93,4476,High-Speed,Poor,Morning,70.32,1
4907,0.95,63.28,73.47,211.13,7.05,18.61,2063,Eco,Average,Night,56.38,1
4173,2.78,79.57,48.69,243.14,43.05,44.46,5277,High-Speed,Poor,Evening,78.87,1
4769,6.44,28.06,76.98,241.53,46.01,94.98,4672,Standard,Good,Night,71.3,1
3346,4.62,113.96,56.56,220.36,41.93,63.06,7643,Standard,Average,Night,81.13,1
1553,4.15,95.51,59.12,238.35,10.76,41.01,9007,High-Speed,Poor,Night,75.51,1
2882,2.42,78.66,76.67,218.59,49.91,66.31,342,Standard,Average,Morning,64.8,1
3574,7.46,102.84,52.94,211.61,16.64,91.94,6610,High-Speed,Poor,Morning,85.7,1
3696,3.24,28.02,56.59,218.05,37.59,34.66,4015,Eco,Average,Morning,54.66,1
4985,0.79,67.68,52.57,217.15,45.86,55.46,9815,Eco,Good,Evening,58.47,1
1575,4.97,83.01,52.04,223.51,15.61,96.28,937,Standard,Average,Night,68.47,1
2425,1.0,102.87,61.56,226.74,45.87,25.52,3423,High-Speed,Poor,Evening,72.83,1
3869,2.83,98.35,78.53,230.34,18.93,74.77,3053,High-Speed,Good,Night,74.92,1
1217,4.11,47.71,51.71,229.07,48.94,65.3,9637,Standard,Poor,Morning,64.75,0
914,7.01,114.09,61.46,220.83,17.66,71.17,1532,Standard,Good,Morning,64.36,0
1416,4.0,32.43,70.24,211.17,47.9,41.61,6954,Standard,Average,Night,60.16,1
4774,5.65,107.51,46.17,234.2,7.41,38.25,7755,High-Speed,Average,Evening,86.91,1
4067,7.94,117.09,46.65,225.83,36.92,71.58,8531,Standard,Good,Night,80.96,1
1625,1.14,37.72,86.0,221.95,28.95,29.4,8430,Standard,Good,Morning,44.74,0
2316,2.27,92.21,73.41,244.68,26.5,47.77,8711,Standard,Poor,Night,67.81,1
3946,3.22,24.03,64.63,239.87,15.06,26.94,403,Standard,Average,Evening,58.02,1
1212,3.43,60.54,68.86,244.31,36.75,10.75,2262,Standard,Good,Night,47.91,0
1528,3.35,71.63,31.76,229.8,13.59,97.31,6586,High-Speed,Poor,Morning,70.93,1
4148,7.27,78.06,67.09,215.24,29.88,48.85,4202,Standard,Average,Evening,80.31,1
3608,5.74,113.59,60.57,237.85,16.4,97.24,6974,High-Speed,Good,Night,84.69,1
1475,4.9,87.23,62.74,218.24,48.0,22.63,1268,Eco,Average,Night,56.28,1
4265,2.54,68.13,51.57,227.65,6.29,62.86,515,Standard,Good,Morning,56.71,1
3304,6.61,100.97,34.89,212.6,13.99,28.09,5343,Standard,Good,Morning,64.77,1
3767,7.64,115.05,41.6,243.01,15.9,81.11,249,Standard,Average,Evening,80.88,1
3586,6.59,22.21,87.04,215.04,23.63,80.53,6624,High-Speed,Good,Morning,71.6,1
1922,0.11,118.25,54.52,246.12,15.47,20.13,5999,Eco,Average,Evening,50.94,0
4879,5.13,28.61,58.0,244.57,27.11,92.09,938,Eco,Average,Morning,66.05,1
2371,0.5,101.44,33.16,228.58,44.26,27.52,6244,Standard,Average,Morning,58.07,1
2943,2.14,48.03,32.25,239.77,37.04,65.17,9988,Eco,Good,Evening,52.2,0
2487,0.57,33.22,73.03,234.78,31.1,98.71,9713,High-Speed,Good,Evening,62.29,1
4932,4.87,63.99,62.29,242.12,9.01,89.42,7566,Eco,Average,Evening,70.83,1
4651,5.52,84.4,60.52,227.27,36.23,96.09,1420,Standard,Average,Night,80.49,1
4240,1.0,58.1,44.59,241.43,12.49,40.83,1623,Eco,Good,Morning,48.57,0
4566,3.13,25.46,74.69,228.5,40.39,19.5,5334,Standard,Average,Evening,63.9,1
3126,3.7,79.95,40.09,247.64,16.25,26.95,6244,Standard,Poor,Morning,68.21,1
3714,3.02,110.24,41.4,229.45,23.77,55.04,652,Eco,Average,Evening,63.11,1
4752,1.06,58.32,57.64,228.5,20.77,81.39,3856,Standard,Good,Morning,60.23,1
1395,3.41,41.63,47.18,241.4,43.65,23.51,3771,Standard,Good,Morning,44.13,0
1528,6.03,64.26,44.85,242.86,10.69,69.38,581,High-Speed,Good,Morning,59.4,0
2165,0.66,24.84,68.71,232.18,30.45,39.12,699,Eco,Average,Morning,39.58,0
1498,0.73,102.05,69.06,217.19,11.39,40.71,7777,Standard,Good,Night,50.89,0
1195,2.9,102.63,79.47,228.71,36.72,69.57,9456,High-Speed,Average,Evening,69.97,1
4971,7.54,78.8,55.06,248.72,45.73,52.03,9295,High-Speed,Good,Night,88.18,1
3302,5.38,55.31,34.39,240.12,24.56,83.08,2082,High-Speed,Average,Evening,73.16,1
2619,5.46,99.98,46.42,242.45,26.96,24.03,1734,High-Speed,Poor,Morning,76.79,1
1517,2.96,75.47,88.8,211.31,46.73,81.1,7930,Standard,Average,Morning,63.46,1
3582,4.79,102.59,65.78,228.71,28.44,15.78,3097,Standard,Average,Morning,66.47,1
4377,0.18,83.15,72.58,235.86,26.94,27.46,786,Eco,Good,Morning,50.05,1
943,5.13,98.44,30.44,243.2,31.02,69.05,5629,Standard,Good,Evening,55.17,1
3940,7.31,79.86,61.09,211.97,36.02,86.94,1859,High-Speed,Average,Evening,84.1,1
3738,4.94,61.41,32.25,244.1,9.81,32.74,7123,Standard,Good,Morning,62.27,1
4436,7.0,115.79,64.15,231.94,41.95,39.45,6308,Standard,Average,Morning,81.74,1
4022,5.82,74.11,85.25,217.89,24.6,58.34,7334,Standard,Good,Morning,72.66,1
1967,1.05,80.51,88.11,222.69,8.26,29.04,2580,Standard,Good,Morning,46.18,0
3416,7.23,42.05,62.43,221.28,40.38,83.0,9629,High-Speed,Good,Morning,78.57,1
1862,0.62,82.57,57.49,231.23,21.96,79.63,7576,Standard,Average,Night,58.7,1
2956,4.32,77.16,86.7,212.07,9.52,23.08,7870,Eco,Average,Morning,57.24,1
3782,1.22,38.48,70.42,216.34,33.52,51.74,214,High-Speed,Good,Evening,66.71,0
4094,0.19,25.96,33.89,242.51,44.61,79.73,668,Standard,Average,Morning,55.44,1
1956,3.43,80.44,57.94,215.3,44.95,40.36,9845,High-Speed,Good,Morning,67.44,0
1532,2.43,96.37,44.41,219.34,48.09,66.98,8051,Standard,Good,Night,58.99,1
1753,3.94,72.34,58.19,228.13,44.05,14.52,2789,Standard,Average,Evening,55.02,0
3339,4.66,42.68,57.33,230.68,5.1,64.78,4690,High-Speed,Good,Morning,62.62,1
4124,0.45,86.65,64.93,240.54,22.11,23.74,3440,Standard,Good,Night,59.12,1
4101,1.07,28.01,51.41,227.89,41.83,84.75,3088,Standard,Average,Morning,58.2,1
2342,4.51,64.18,39.86,241.59,21.48,41.99,3251,Eco,Average,Morning,53.42,0
1991,2.81,36.34,60.22,234.73,32.07,35.34,3115,High-Speed,Good,Night,54.07,0
3793,5.86,38.45,79.81,214.52,32.28,85.68,9113,Eco,Average,Evening,67.96,1
3481,5.25,40.23,69.84,216.25,21.43,14.51,6445,High-Speed,Poor,Morning,70.59,1
2017,6.78,58.67,50.3,227.48,45.7,45.69,3674,Standard,Good,Morning,58.2,0
2340,5.57,25.12,86.13,225.88,27.65,43.3,7938,Standard,Average,Night,59.72,1
4036,3.5,59.78,84.73,239.74,25.92,35.63,1708,High-Speed,Good,Morning,69.53,1
3186,5.42,71.17,42.56,233.23,49.89,92.06,659,Eco,Poor,Morning,64.65,1
4519,2.28,68.33,32.37,225.53,27.21,77.58,6721,Standard,Poor,Evening,72.64,1
2188,2.52,58.28,74.48,216.83,13.03,15.75,7226,High-Speed,Good,Night,60.84,1
2656,6.33,103.91,79.66,219.07,28.09,74.32,5665,High-Speed,Poor,Morning,85.93,1
2165,3.63,34.53,88.07,233.02,41.63,57.46,4535,Standard,Good,Night,52.94,0
1299,6.41,70.57,83.39,226.94,39.96,91.08,5750,Standard,Good,Evening,58.63,1
2480,6.6,26.2,66.03,230.6,40.49,38.17,8903,High-Speed,Good,Evening,67.64,1
1310,6.87,27.12,61.8,216.83,36.86,61.67,1981,High-Speed,Poor,Evening,70.21,1
2124,7.34,77.39,31.67,236.52,16.44,55.07,4269,High-Speed,Average,Night,74.47,1
1955,3.5,76.6,44.8,244.1,43.79,54.06,3963,Standard,Good,Morning,56.43,0
2627,2.62,107.8,57.58,220.32,45.2,51.05,7536,High-Speed,Average,Morning,72.82,1
3941,4.7,75.79,67.71,229.66,13.74,28.51,3808,Standard,Average,Night,68.28,1
4286,3.03,115.98,63.44,249.02,10.87,78.01,1809,Eco,Average,Evening,67.12,1
2610,4.85,24.87,74.56,223.33,48.9,50.62,7960,Standard,Poor,Evening,64.24,1
3723,5.67,29.8,46.79,233.8,44.07,96.27,1792,Eco,Good,Evening,57.37,0
3014,5.54,24.41,63.9,213.61,45.2,33.47,9537,Eco,Good,Evening,53.78,1
4986,3.06,38.53,35.29,234.24,44.89,71.45,225,Standard,Good,Night,67.71,1
1513,1.42,74.13,54.82,213.59,29.38,94.66,1299,Eco,Average,Night,51.08,1
4402,3.5,84.56,75.01,248.37,34.09,69.71,6192,Standard,Good,Evening,68.1,1
4934,1.23,24.56,71.6,238.63,29.54,88.41,2811,Eco,Average,Morning,58.41,1
4322,7.13,114.6,89.44,241.53,7.3,84.47,9282,Eco,Average,Evening,80.47,1
2043,2.83,104.22,46.67,238.16,38.55,42.41,9813,Eco,Average,Evening,60.8,1
4509,1.32,49.66,59.89,233.59,27.74,64.01,6328,Eco,Good,Evening,54.53,0
1881,0.3,27.72,49.77,228.0,34.15,24.06,6095,Standard,Good,Evening,40.41,0
1255,5.2,36.99,56.44,244.33,27.62,58.2,8282,Standard,Good,Morning,52.47,0
1694,5.13,32.69,81.42,248.27,27.13,30.74,5602,High-Speed,Good,Evening,55.86,1
2184,2.79,32.33,71.05,229.96,12.73,76.94,5860,High-Speed,Good,Evening,55.16,1
2758,0.67,71.86,82.95,247.26,17.54,57.53,5682,High-Speed,Poor,Night,77.89,1
3872,3.34,44.58,42.21,233.33,12.15,47.01,2598,Eco,Good,Evening,49.77,1
2796,2.56,55.81,82.4,231.54,13.8,34.19,2665,Standard,Average,Morning,55.5,1
1304,5.45,118.95,33.59,228.18,48.78,99.88,7089,Eco,Average,Evening,67.44,1
2014,4.89,88.43,83.32,218.37,11.89,16.45,4890,High-Speed,Poor,Night,76.16,1
2331,2.98,114.9,49.74,210.15,17.12,13.92,5124,Eco,Average,Evening,58.42,1
4240,1.82,34.26,48.88,219.66,31.58,29.55,8407,Standard,Average,Evening,62.47,0
1623,7.91,58.21,60.73,230.39,32.46,97.4,1131,Eco,Average,Evening,59.73,1
1728,3.69,75.47,86.44,225.2,11.93,98.13,1341,Eco,Average,Morning,58.71,1
933,5.54,27.68,32.87,227.94,40.72,68.94,1842,High-Speed,Good,Night,60.54,1
2905,1.21,20.42,51.13,249.23,40.33,89.21,5809,High-Speed,Good,Morning,59.84,1
4427,3.94,87.04,81.39,224.01,15.68,29.26,6099,High-Speed,Average,Evening,79.64,1
2652,0.32,84.18,53.76,228.09,17.99,97.48,4190,Standard,Average,Morning,55.57,1
4975,4.09,61.08,41.95,215.34,47.21,22.85,8260,High-Speed,Average,Morning,77.57,1
3733,7.72,68.96,55.49,211.92,42.16,19.1,6983,Standard,Average,Evening,70.99,1
4084,3.14,61.54,53.13,241.02,36.4,20.1,5229,High-Speed,Poor,Evening,74.11,1
3611,0.41,22.4,84.92,232.83,8.7,61.58,4503,Standard,Good,Evening,49.24,0
2050,0.34,53.54,75.72,240.43,23.82,80.29,6677,Standard,Average,Evening,57.01,1
4312,3.17,37.71,60.31,215.99,30.17,43.0,4997,Standard,Poor,Evening,68.61,1
2056,1.36,29.84,89.3,232.87,13.43,98.01,263,Standard,Average,Evening,54.53,0
4176,0.28,115.67,57.92,220.15,25.17,49.1,3410,High-Speed,Average,Evening,74.39,1
4286,6.07,79.94,33.49,219.12,32.05,23.54,3488,High-Speed,Average,Evening,80.27,1
4384,3.72,92.87,45.74,210.46,19.73,51.94,1095,Standard,Poor,Evening,74.02,1
2196,2.39,51.54,56.16,215.21,40.14,71.11,6261,Standard,Good,Evening,55.83,0
4437,7.21,59.31,39.41,222.37,42.82,84.9,1977,Standard,Average,Night,80.37,1
4130,1.02,43.69,86.85,214.68,19.56,51.29,8203,High-Speed,Poor,Morning,73.26,1
3503,7.65,29.7,76.01,249.43,42.74,63.42,3364,Standard,Poor,Night,74.67,1
1270,2.58,37.9,46.1,222.35,9.66,34.06,1448,Eco,Average,Morning,41.94,0
2153,7.12,99.75,65.45,215.21,42.7,68.13,2351,Standard,Poor,Morning,75.56,1
3583,4.86,87.75,73.29,217.96,11.87,98.74,7390,Eco,Poor,Morning,72.88,1
3631,6.63,74.69,86.48,233.51,8.73,14.41,9885,High-Speed,Average,Evening,77.71,1
1157,7.87,67.51,82.9,212.56,33.88,89.79,8118,Standard,Average,Morning,66.72,1
3819,2.38,112.24,60.91,244.5,26.24,60.61,6690,Standard,Poor,Night,77.93,1
1467,7.69,27.27,76.48,248.46,45.86,32.69,7758,High-Speed,Average,Night,69.26,1
1945,3.18,48.06,63.73,219.87,21.34,95.94,532,Eco,Average,Evening,52.79,1
4985,3.15,54.99,63.16,228.0,17.92,53.5,5843,Eco,Poor,Evening,69.39,1
4519,2.79,98.24,36.88,210.89,27.53,39.85,5347,Standard,Average,Night,73.32,1
3545,4.38,119.25,37.57,235.63,25.52,26.33,7815,Eco,Poor,Night,70.17,1
1339,1.32,44.07,61.77,226.56,20.5,32.0,3917,Standard,Poor,Evening,52.44,0
3579,4.47,107.43,46.13,220.8,36.22,84.96,1170,High-Speed,Average,Evening,86.02,1
4936,4.38,103.06,31.26,218.27,39.18,65.3,4700,High-Speed,Average,Evening,87.27,1
4575,6.12,42.47,73.37,236.16,43.38,92.19,8406,High-Speed,Poor,Evening,88.56,1
3308,6.69,59.93,31.95,226.65,48.78,30.88,9731,High-Speed,Average,Morning,79.36,1
3579,3.58,60.97,65.72,217.19,17.0,20.9,1094,Standard,Good,Evening,60.47,1
1724,2.49,117.82,62.35,237.56,37.22,10.55,4418,Standard,Good,Morning,55.52,0
3756,2.15,38.09,88.13,232.6,22.74,55.71,4831,Eco,Good,Morning,46.92,0
2381,1.64,99.92,59.05,244.35,35.47,99.85,6168,High-Speed,Good,Evening,70.44,1
4124,0.56,53.42,33.82,214.7,26.42,72.55,7770,Standard,Good,Night,62.35,1
1055,2.81,93.09,63.1,241.43,49.72,37.76,4867,Eco,Good,Night,45.68,0
2638,2.23,62.0,80.47,236.94,37.8,88.92,1057,Standard,Average,Evening,63.99,0
2744,7.73,77.84,89.81,214.6,47.86,80.36,8387,Standard,Average,Evening,76.34,1
809,4.51,103.26,55.82,237.79,42.57,11.39,2254,Standard,Poor,Morning,63.19,1
3671,2.84,100.42,49.22,227.66,45.63,83.52,731,High-Speed,Average,Evening,78.82,1
1597,4.69,106.64,84.4,247.8,41.65,37.05,9993,Standard,Good,Morning,61.31,0
1815,1.2,25.96,41.47,215.66,25.66,23.47,6145,High-Speed,Average,Morning,54.76,0
2624,3.61,89.21,66.93,235.71,16.33,30.37,797,Standard,Good,Evening,57.78,0
3936,5.05,34.0,54.34,225.28,21.66,52.17,131,Standard,Average,Morning,63.95,1
2993,3.96,61.58,32.46,248.27,5.91,48.24,6309,High-Speed,Average,Morning,66.77,1
1023,3.27,74.86,50.84,223.2,28.58,36.0,4974,High-Speed,Average,Night,64.05,1
4958,7.95,60.27,45.91,248.49,27.73,25.5,5662,Eco,Average,Morning,70.14,1
4725,7.05,71.96,71.17,246.06,28.64,78.6,8840,Eco,Average,Morning,77.48,1
4800,5.02,119.65,86.93,220.82,48.83,99.11,2348,Standard,Good,Morning,79.73,1
2433,4.6,33.52,46.08,242.14,46.02,80.0,6292,Standard,Good,Morning,55.15,0
2952,5.0,87.55,78.69,249.82,12.28,36.63,9995,Standard,Good,Morning,60.5,1
1310,1.69,59.6,33.32,220.11,21.6,32.03,6506,High-Speed,Average,Night,61.55,1
1184,3.22,33.3,62.29,227.47,24.08,29.59,1256,Eco,Good,Morning,36.64,0
1204,0.41,35.87,34.23,230.81,21.22,22.3,8635,Standard,Average,Night,48.04,0
2800,3.86,114.93,86.04,221.8,40.93,59.62,5395,Eco,Average,Morning,65.25,1
3556,4.39,107.96,75.98,210.61,28.58,64.49,6254,High-Speed,Good,Evening,80.03,1
2468,1.9,110.7,69.48,218.81,30.74,73.5,2348,High-Speed,Average,Evening,71.62,1
2260,7.72,119.15,79.43,221.28,43.39,71.22,9236,Standard,Poor,Evening,85.57,1
4436,7.28,40.83,68.85,227.74,41.27,36.31,3385,Eco,Average,Evening,69.18,1
3524,5.8,55.54,88.14,216.84,10.95,39.73,9622,High-Speed,Good,Night,72.69,1
4978,4.31,86.92,72.84,244.93,37.13,71.34,2103,Standard,Average,Morning,74.09,1
2848,6.97,68.38,85.48,238.2,24.59,41.45,3715,Standard,Average,Evening,72.47,1
4946,1.13,61.84,61.03,213.41,18.26,29.14,3772,High-Speed,Average,Night,71.82,1
1516,6.35,55.78,37.02,236.0,7.25,43.69,7558,High-Speed,Good,Morning,62.11,0
2623,1.09,79.38,61.69,236.15,26.93,34.49,2255,Standard,Good,Morning,51.57,1
2881,6.37,77.56,37.61,248.25,20.99,17.95,3579,Standard,Average,Morning,64.21,1
4219,2.28,36.15,65.55,210.12,16.32,84.71,151,Standard,Poor,Evening,68.65,1
2374,7.03,67.17,58.95,219.92,36.26,86.78,2259,Standard,Average,Morning,66.91,1
1049,7.56,75.35,67.35,247.11,39.63,29.78,4490,Standard,Average,Morning,65.84,0
1473,1.28,77.03,30.6,247.29,16.02,15.83,3751,Standard,Good,Evening,43.06,0
2965,3.76,41.01,41.69,238.82,7.23,76.49,7456,Eco,Poor,Evening,60.3,1
1570,7.85,94.23,59.48,240.63,43.19,29.04,2212,Standard,Average,Morning,63.2,1
4762,3.92,22.52,87.03,213.66,5.45,45.41,5865,Eco,Good,Morning,56.23,0
2784,6.92,55.48,53.02,230.56,47.17,15.77,1454,Standard,Average,Evening,68.14,1
1877,4.75,98.02,55.46,219.26,33.24,30.36,5720,Standard,Good,Night,64.64,0
1035,3.07,76.39,72.88,217.25,19.48,81.36,3854,Standard,Good,Evening,55.12,1
1188,2.36,46.12,66.23,242.41,16.09,82.4,309,Standard,Good,Night,48.43,0
3837,1.71,89.5,47.94,215.4,5.41,28.64,6332,Standard,Average,Morning,62.12,1
2648,6.12,76.74,54.65,228.75,15.6,40.23,7946,High-Speed,Average,Morning,73.35,1
3614,3.15,99.62,43.06,247.54,11.2,22.08,6271,Standard,Good,Evening,58.27,1
4174,4.14,93.5,87.96,217.43,32.55,16.68,337,High-Speed,Average,Night,78.8,1
4078,3.99,81.01,37.84,249.12,12.49,99.3,8627,Standard,Average,Evening,75.45,1
2052,4.66,68.82,52.31,249.77,28.79,69.0,8175,Standard,Average,Night,64.39,1
4781,6.94,33.32,31.55,232.22,31.56,58.79,1676,Eco,Average,Night,64.1,1
2922,7.85,46.13,43.31,216.81,18.41,78.89,8791,Standard,Good,Morning,62.2,1
2950,3.32,61.91,76.83,222.64,6.58,85.61,9856,High-Speed,Poor,Morning,78.35,1
2129,6.64,79.93,42.07,226.98,6.68,82.6,9082,High-Speed,Poor,Morning,76.62,1
2158,6.14,71.37,34.8,222.37,6.19,11.49,3640,High-Speed,Good,Morning,60.73,0
3282,4.63,48.82,58.47,221.23,38.26,26.81,9427,Standard,Good,Morning,57.58,1
2817,7.65,20.65,30.6,248.89,19.31,68.94,7357,Standard,Average,Night,67.83,1
2131,1.68,69.62,35.09,216.13,40.83,43.82,249,Standard,Average,Morning,54.45,0
2158,0.96,48.56,78.46,239.33,24.43,98.42,1724,Standard,Average,Morning,56.2,0
3977,6.85,93.46,76.29,210.02,25.38,69.89,7761,Eco,Average,Morning,72.89,1
2928,3.57,22.39,84.91,233.85,28.08,96.09,2674,High-Speed,Good,Night,64.66,1
2980,6.79,78.48,81.27,246.64,37.09,28.13,4528,High-Speed,Poor,Evening,83.63,1
937,7.16,114.15,70.99,221.52,17.31,87.76,7629,Standard,Poor,Night,73.28,1
4272,0.59,37.44,33.14,217.42,10.47,38.92,4369,Standard,Average,Night,60.25,1
3632,7.08,67.16,76.97,236.07,30.02,99.06,7869,Eco,Average,Evening,75.02,1
4379,3.64,29.14,80.73,238.5,19.71,24.19,2208,Standard,Poor,Morning,69.44,1
